year,expenditure_current,expenditure_max,max_award_current,max_2017,min_award_current,min_award_2017,num_recepients,% recipients_independent
1973,47.589,262.9598409,452,2497.59079,50,276.282167,176,0.133
1974,358.353,1775.704402,1050,5202.941296,50,247.7591093,567,0.219
1975,925.998,4182.128163,1400,6322.885609,200,903.2693727,1217,0.298
1976,1475.444,6325.184501,1400,6001.758319,200,857.3940455,1944,0.383
1977,1524.34,6117.001496,1400,5618.039344,200,802.5770492,2011,0.385
1978,1540.895,5741.088637,1600,5961.302892,50,186.2907154,1893,0.367
1979,2357.222,7893.501293,1800,6027.562244,200,669.7291382,2537.875,0.338
1980,2387.117,7065.693131,1750,5179.873035,150,443.9891173,2707.932,0.406
1981,2299.718,6145.619764,1670,4462.801528,120,320.6803493,2709.076,0.419
1982,2420.517,6077.012045,1800,4519.126154,50,125.5312821,2522.746,0.459
1983,2797.057,6853.657606,1800,4410.558559,200,490.0620621,2758.906,0.475
1984,3052.999052,7178.976234,1900,4467.756004,200,470.2901057,2747.1,0.486
1985,3597.379921,8168.72209,2100,4768.558442,200,454.148423,2813.489,0.504
1986,3460.006551,7734.805147,2100,4694.526027,100,223.5488584,2659.507,0.539
1987,3754.329481,8075.635293,2100,4517.140598,200,430.2038664,2881.547,0.575
1988,4475.693249,9245.460318,2200,4544.550211,200,413.1409283,3198.286,0.579
1989,4777.844232,9401.522333,2300,4525.786174,200,393.5466238,3322.151,0.59
1990,4935.191005,9264.30725,2300,4317.544479,100,187.7193252,3404.81,0.611
1991,5792.702829,10410.95855,2400,4313.409692,200,359.4508076,3786.23,0.615
1992,6175.902364,10759.9604,2400,4181.397865,200,348.4498221,4002.045,0.621
1993,5654.453265,9585.394716,2300,3898.945983,400,678.0775623,3755.675,0.592
1994,5519.474492,9104.380613,2300,3793.8531,400,659.8005391,3674.967,0.593
1995,5471.70771,8782.934056,2340,3756.06059,400,642.0616393,3611.821,0.585
1996,5780.032888,9011.918029,2470,3851.091847,400,623.6585987,3665.654,0.576
1997,6331.091265,9655.841161,2700,4117.895327,400,610.058567,3732.807,0.566
1998,7232.781489,10848.55177,3000,4499.742647,400,599.9656863,3855.18,0.553
1999,7208.500491,10585.12298,3125,4588.819736,400,587.3689262,3763.71,0.555
2000,7956.304184,11270.78632,3300,4674.732639,400,566.6342593,3899.433,0.562
2001,9975.09234,13756.41101,3750,5171.535211,400,551.6304225,4340.879,0.571
2002,11641.55172,15822.81443,4000,5436.668517,400,543.6668517,4778.507,0.575
2003,12707.89734,16915.2548,4050,5390.882545,400,532.4328439,5139.638,0.578
2004,13149.93976,16995.35984,4050,5234.336325,400,516.9714889,5308.433,0.583
2005,12693.12798,15901.22838,4050,5073.609519,400,501.0972364,5167.979,0.5895
2006,12817.31626,15417.68834,4050,4871.662408,400,481.1518428,5164.959,0.584
2007,14676.3451,17247.14862,4310,5064.967475,400,470.066587,5542.893,0.578
2008,18291.08212,20355.15279,4731,5264.873188,890,990.4327072,6156.75,0.590420758
2009,29992.44023,34091.92191,5350,6081.258504,976,1109.40342,8094.024,0.605245549
2010,35676.92737,40058.58577,5550,6231.622716,555,623.1622716,9308.234,0.595593858
2011,33575.06602,36378.51166,5550,6013.413036,555,601.3413036,9444.368,0.591456728
2012,32060.93559,34255.48301,5550,5929.893411,602,643.2064565,8958.713,0.577541886
2013,31476.77404,32984.6128,5645,5915.413663,582,609.8796726,8662.653,0.557711477
2014,30626.46924,31466.65645,5730,5887.1932,587,603.1033872,8315.533,0.548668618
2015,28558.92371,29292.71959,5775,5923.383434,581,595.9282727,7660.036,0.528663442
2016,26893.88423,27356.44469,5815,5915.014897,589,599.1304857,7194.761,0.510461849
2017,28232.41976,28232.41976,5920,5920,596,596,7035.303,--
