year,average_wage_index,percent_increase_previous_year
1973,7580.16,0.0626
1974,8030.76,0.0594
1975,8630.92,0.0747
1976,9226.48,0.069
1977,9779.44,0.0599
1978,10556.03,0.0794
1979,11479.46,0.0875
1980,12513.46,0.0901
1981,13773.1,0.1007
1982,14531.34,0.0551
1983,15239.24,0.0487
1984,16135.07,0.0588
1985,16822.51,0.0426
1986,17321.82,0.0297
1987,18426.51,0.0638
1988,19334.04,0.0493
1989,20099.55,0.0396
1990,21027.98,0.0462
1991,21811.6,0.0373
1992,22935.42,0.0515
1993,23132.67,0.0086
1994,23753.53,0.0268
1995,24705.66,0.0401
1996,25913.9,0.0489
1997,27426,0.0584
1998,28861.44,0.0523
1999,30469.84,0.0557
2000,32154.82,0.0553
2001,32921.92,0.0239
2002,33252.09,0.01
2003,34064.95,0.0244
2004,35648.55,0.0465
2005,36952.94,0.0366
2006,38651.41,0.046
2007,40405.48,0.0454
2008,41334.97,0.023
2009,40711.61,-0.0151
2010,41673.83,0.0236
2011,42979.61,0.0313
2012,44321.67,0.0312
2013,44888.16,0.0128
2014,46481.52,0.0355
2015,48098.63,0.0348
2016,48642.15,0.0113
2017,50321.89,0.0345
