year,tot_federal_grants,tot_fed_loans,fedral_work_study,tot_federal_aid,state_grants,institutional_grants,private_employer_grants,tot_std_aid_loans
1973,14363,7903,1493,23759,2011,5581,0,31351
1974,19995,7812,1336,29144,2183,5052,0,36379
1975,24672,7088,1894,33653,2298,5284,0,41235
1976,20823,7372,1669,29864,2786,5144,0,37794
1977,18614,8571,1562,28747,2951,4936,0,36634
1978,15526,10085,1616,27228,2933,4769,0,34930
1979,17129,13691,1832,32651,2888,4888,0,40427
1980,14039,18128,1621,33788,2580,4795,0,41164
1981,11563,18405,1459,31427,2663,4677,0,38766
1982,11218,16038,1315,28571,2754,4920,0,36245
1983,10578,17602,1431,29611,2902,5586,0,38099
1984,10560,18851,1301,30713,3174,6020,0,39907
1985,11276,18628,1341,31245,3292,6721,0,41258
1986,10726,18497,1261,30484,3537,7534,0,41554
1987,11062,19715,1271,32048,3486,8195,0,43730
1988,12022,19819,1215,33056,3542,8222,1450,46270
1989,11795,19528,1198,32522,3653,9740,2420,48335
1990,11512,19621,1128,32261,3621,11507,3790,51179
1991,12994,20368,1068,34431,3584,12743,4350,55107
1992,13533,20637,1071,35240,3846,13816,4900,57803
1993,12463,27729,1045,41237,4240,15002,4780,65259
1994,11873,36974,1016,49863,4717,15951,4670,75201
1995,11460,41537,987,53983,4677,16758,4560,82078
1996,11537,44443,959,56939,4819,17852,5180,87691
1997,12168,45804,1242,61634,5169,19186,5930,95419
1998,13541,46851,1222,67324,5529,20804,6820,104777
1999,13188,48079,1248,69095,6094,22482,7830,112201
2000,14063,48626,1318,70537,6631,23005,8290,115663
2001,16993,51624,1383,77030,7089,23362,8840,124921
2002,19562,58241,1367,87130,7861,24003,9550,139744
2003,21041,65901,1331,96984,8208,26421,10250,156263
2004,21240,70677,1285,102161,8639,27958,11010,167968
2005,20228,72441,1233,102941,8823,29829,11810,174803
2006,20240,73619,1172,104030,9193,31471,12560,181554
2007,22167,80669,1144,113040,9458,33543,13540,195881
2008,25696,96182,1084,136732,9530,35257,13830,208249
2009,44751,113717,1105,180944,10088,39842,14140,254214
2010,53122,119243,1094,197579,10378,43032,14920,274409
2011,48070,115974,1054,186947,10182,45140,15270,266339
2012,47504,109762,1031,177978,10248,48362,15410,261798
2013,46333,106185,1028,172896,10414,50632,15470,259412
2014,44914,100296,1008,164728,10796,53199,15520,254743
2015,42996,97983,1007,159596,11014,56064,15870,253144
2016,40354,96300,976,154630,11178,58269,16130,251407
2017,41688,93903,960,153540,11178,60033,16540,252891
